iter	Passed	Remaining
0	1	176
1	3	161
2	4	161
3	6	156
4	8	156
5	9	153
6	11	150
7	12	147
8	14	146
9	15	143
10	17	141
11	19	139
12	20	137
13	22	138
14	24	137
15	25	136
16	27	135
17	29	133
18	30	131
19	32	130
20	34	129
21	36	129
22	38	129
23	40	129
24	42	127
25	44	125
26	45	123
27	47	121
28	48	119
29	50	118
30	52	116
31	54	114
32	55	112
33	57	111
34	58	109
35	60	107
36	62	105
37	63	103
38	65	102
39	67	101
40	70	100
41	71	98
42	73	97
43	75	96
44	78	96
45	81	95
46	83	94
47	86	93
48	88	92
49	91	91
50	93	90
51	96	88
52	100	89
53	103	87
54	104	85
55	106	83
56	109	82
57	111	80
58	113	78
59	116	77
60	118	75
61	121	74
62	123	72
63	125	70
64	127	68
65	131	67
66	134	66
67	136	64
68	138	62
69	141	60
70	143	58
71	146	57
72	148	54
73	150	52
74	152	50
75	153	48
76	155	46
77	157	44
78	159	42
79	162	40
80	164	38
81	167	36
82	171	35
83	175	33
84	177	31
85	179	29
86	180	27
87	182	24
88	184	22
89	186	20
90	188	18
91	189	16
92	191	14
93	193	12
94	194	10
95	196	8
96	197	6
97	199	4
98	201	2
99	202	0
